recall,ef,dst,time
0.8995,123,127,323606967
0.8995,123,127,323893020
0.8995,123,127,312188148
0.8995,123,127,323115541
0.8995,123,127,320812565
0.8995,123,127,320736215
0.8995,123,127,290998677
0.8995,123,127,291285423
0.8995,123,127,288973140
0.8995,123,127,289840743
0.9093,134,138,319833265
0.9093,134,138,308122387
0.9093,134,138,312878236
0.9093,134,138,309480212
0.9093,134,138,307239514
0.9093,134,138,311521044
0.9093,134,138,308862984
0.9093,134,138,308908849
0.9093,134,138,308382926
0.9093,134,138,304197759
0.92,147,151,329016997
0.92,147,151,328664945
0.92,147,151,323538204
0.92,147,151,327917408
0.92,147,151,324794532
0.92,147,151,327994791
0.92,147,151,325923283
0.92,147,151,327046910
0.92,147,151,326452747
0.92,147,151,324062014
0.9303,162,166,348496267
0.9303,162,166,349931754
0.9303,162,166,346933481
0.9303,162,166,351504754
0.9303,162,166,348452372
0.9303,162,166,354292439
0.9303,162,166,345730381
0.9303,162,166,348298671
0.9303,162,166,350415101
0.9303,162,166,348808892
0.9396,180,184,371669317
0.9396,180,184,374920512
0.9396,180,184,376169788
0.9396,180,184,375114349
0.9396,180,184,375209848
0.9396,180,184,373073886
0.9396,180,184,375247163
0.9396,180,184,373138500
0.9396,180,184,376921452
0.9396,180,184,403259454
0.95,204,208,407080322
0.95,204,208,414570481
0.95,204,208,409721159
0.95,204,208,408530894
0.95,204,208,407457181
0.95,204,208,416254466
0.95,204,208,406027538
0.95,204,208,409526605
0.95,204,208,415112361
0.95,204,208,407448361
0.9598,236,240,458083983
0.9598,236,240,455645175
0.9598,236,240,455300441
0.9598,236,240,463352977
0.9598,236,240,454860937
0.9598,236,240,451906084
0.9598,236,240,454790315
0.9598,236,240,463599446
0.9598,236,240,456657176
0.9598,236,240,490750286
0.9694,281,285,531866942
0.9694,281,285,519388156
0.9694,281,285,515692886
0.9694,281,285,522323120
0.9694,281,285,516700647
0.9694,281,285,552084887
0.9694,281,285,516957151
0.9694,281,285,593153031
0.9694,281,285,520687274
0.9694,281,285,517455540
0.9797,360,364,635076932
0.9797,360,364,704840939
0.9797,360,364,630836090
0.9797,360,364,631153732
0.9797,360,364,634074406
0.9797,360,364,635302688
0.9797,360,364,629857548
0.9797,360,364,629544742
0.9797,360,364,649741957
0.9797,360,364,636151295
0.9897,506,510,837327397
0.9897,506,510,846814940
0.9897,506,510,846629045
0.9897,506,510,839256176
0.9897,506,510,841826628
0.9897,506,510,840018237
0.9897,506,510,846006050
0.9897,506,510,861251982
0.9897,506,510,839684144
0.9897,506,510,950319494
