recall,ef,dst,time
0.9002,123,123,379761625
0.9002,123,123,373345083
0.9002,123,123,376498808
0.9002,123,123,388555908
0.9002,123,123,391678690
0.9002,123,123,391996526
0.9002,123,123,374275187
0.9002,123,123,376943107
0.9002,123,123,376098333
0.9002,123,123,378126364
0.9106,134,134,398570596
0.9106,134,134,394996693
0.9106,134,134,397280637
0.9106,134,134,396492551
0.9106,134,134,405749570
0.9106,134,134,392839620
0.9106,134,134,418934614
0.9106,134,134,404099697
0.9106,134,134,392457696
0.9106,134,134,400222618
0.9202,147,147,423153009
0.9202,147,147,423491588
0.9202,147,147,423665631
0.9202,147,147,423478240
0.9202,147,147,438959002
0.9202,147,147,419579525
0.9202,147,147,426082534
0.9202,147,147,424966390
0.9202,147,147,421934081
0.9202,147,147,427465345
0.9306,162,162,481851776
0.9306,162,162,455888103
0.9306,162,162,451285156
0.9306,162,162,450897396
0.9306,162,162,457009367
0.9306,162,162,460618464
0.9306,162,162,464180336
0.9306,162,162,455786336
0.9306,162,162,473424936
0.9306,162,162,455910872
0.9401,180,180,500975689
0.9401,180,180,522550644
0.9401,180,180,495272311
0.9401,180,180,492210727
0.9401,180,180,492765527
0.9401,180,180,518854084
0.9401,180,180,492457628
0.9401,180,180,545438157
0.9401,180,180,505099751
0.9401,180,180,498546605
0.9502,204,204,573827483
0.9502,204,204,548985812
0.9502,204,204,545085102
0.9502,204,204,544378826
0.9502,204,204,542636908
0.9502,204,204,560564764
0.9502,204,204,543524678
0.9502,204,204,544160945
0.9502,204,204,551208125
0.9502,204,204,551926889
0.9605,236,236,616321995
0.9605,236,236,635971298
0.9605,236,236,621884294
0.9605,236,236,641504992
0.9605,236,236,609831704
0.9605,236,236,610243620
0.9605,236,236,611771934
0.9605,236,236,663914528
0.9605,236,236,614823859
0.9605,236,236,632254141
0.9701,281,281,720197617
0.9701,281,281,735871912
0.9701,281,281,705270005
0.9701,281,281,706425533
0.9701,281,281,713386713
0.9701,281,281,708796218
0.9701,281,281,754948551
0.9701,281,281,751550192
0.9701,281,281,749487939
0.9701,281,281,738236058
0.9801,360,360,875790797
0.9801,360,360,890080701
0.9801,360,360,882699599
0.9801,360,360,877929655
0.9801,360,360,918082533
0.9801,360,360,876534227
0.9801,360,360,883611111
0.9801,360,360,910447041
0.9801,360,360,895118816
0.9801,360,360,894238212
0.9901,506,506,1190617903
0.9901,506,506,1259374477
0.9901,506,506,1189113038
0.9901,506,506,1242780604
0.9901,506,506,1192329386
0.9901,506,506,1252451186
0.9901,506,506,1191254148
0.9901,506,506,1222369164
0.9901,506,506,1198394938
0.9901,506,506,1196243541
