recall,ef,dst,time
0.9008,71,2907,1071856597
0.9008,71,2907,1079522426
0.9008,71,2907,1071560314
0.9008,71,2907,1070154716
0.9008,71,2907,1070988400
0.9008,71,2907,1070671479
0.9008,71,2907,1072790800
0.9008,71,2907,1071832879
0.9008,71,2907,1071452833
0.9008,71,2907,1073480515
0.911,79,3167,1174321621
0.911,79,3167,1173618973
0.911,79,3167,1173387151
0.911,79,3167,1175145698
0.911,79,3167,1174291262
0.911,79,3167,1175526891
0.911,79,3167,1173071484
0.911,79,3167,1174299120
0.911,79,3167,1173905311
0.911,79,3167,1176096113
0.9203,85,3363,1250361426
0.9203,85,3363,1248549803
0.9203,85,3363,1249688048
0.9203,85,3363,1251008641
0.9203,85,3363,1250290925
0.9203,85,3363,1250141660
0.9203,85,3363,1249282805
0.9203,85,3363,1250968546
0.9203,85,3363,1250014256
0.9203,85,3363,1251320592
0.9303,95,3678,1371322902
0.9303,95,3678,1372361438
0.9303,95,3678,1371805015
0.9303,95,3678,1372250358
0.9303,95,3678,1372918677
0.9303,95,3678,1371902452
0.9303,95,3678,1370703096
0.9303,95,3678,1370863699
0.9303,95,3678,1372223103
0.9303,95,3678,1371819408
0.9402,106,4025,1504023646
0.9402,106,4025,1505162732
0.9402,106,4025,1506385931
0.9402,106,4025,1503865772
0.9402,106,4025,1504654395
0.9402,106,4025,1505692374
0.9402,106,4025,1504874220
0.9402,106,4025,1504560556
0.9402,106,4025,1509012785
0.9402,106,4025,1505111018
0.9502,121,4486,1710160986
0.9502,121,4486,1682560703
0.9502,121,4486,1683269744
0.9502,121,4486,1681354367
0.9502,121,4486,1684282040
0.9502,121,4486,1682744953
0.9502,121,4486,1681850951
0.9502,121,4486,1683109108
0.9502,121,4486,1682878338
0.9502,121,4486,1682570060
0.9601,137,4964,1868417175
0.9601,137,4964,1868123877
0.9601,137,4964,1866398706
0.9601,137,4964,1869525690
0.9601,137,4964,1867611335
0.9601,137,4964,1870149276
0.9601,137,4964,1869894541
0.9601,137,4964,1870835803
0.9601,137,4964,1870518130
0.9601,137,4964,1870473009
0.9701,167,5843,2210766015
0.9701,167,5843,2212453014
0.9701,167,5843,2210471101
0.9701,167,5843,2211979979
0.9701,167,5843,2211016254
0.9701,167,5843,2213961180
0.9701,167,5843,2212120885
0.9701,167,5843,2214106940
0.9701,167,5843,2212080321
0.9701,167,5843,2211070911
0.9802,214,7160,2729214923
0.9802,214,7160,2727971528
0.9802,214,7160,2728157324
0.9802,214,7160,2728600354
0.9802,214,7160,2728077195
0.9802,214,7160,2728677022
0.9802,214,7160,2727766996
0.9802,214,7160,2732356012
0.9802,214,7160,2726719083
0.9802,214,7160,2728850194
0.9901,327,10098,3888354422
0.9901,327,10098,3889465497
0.9901,327,10098,3891323124
0.9901,327,10098,3890220828
0.9901,327,10098,3891025990
0.9901,327,10098,3892877662
0.9901,327,10098,3890828647
0.9901,327,10098,3891538333
0.9901,327,10098,3894021211
0.9901,327,10098,3892535998
