recall,ef,time
0.9007,71,1131681336
0.9007,71,1130288136
0.9007,71,1128538065
0.9007,71,1128458408
0.9007,71,1128426493
0.9007,71,1126664286
0.9007,71,1127849055
0.9007,71,1129861338
0.9007,71,1129388527
0.9007,71,1127505776
0.9107,79,1233933944
0.9107,79,1237089189
0.9107,79,1236299073
0.9107,79,1234605279
0.9107,79,1233892106
0.9107,79,1237962334
0.9107,79,1237176548
0.9107,79,1263431176
0.9107,79,1263401221
0.9107,79,1263170294
0.9209,85,1347396644
0.9209,85,1345914477
0.9209,85,1344209131
0.9209,85,1342252092
0.9209,85,1339664873
0.9209,85,1337034032
0.9209,85,1340076752
0.9209,85,1348815970
0.9209,85,1346752568
0.9209,85,1346747279
0.9308,94,1457568222
0.9308,94,1455425538
0.9308,94,1458329665
0.9308,94,1454031146
0.9308,94,1458052732
0.9308,94,1464725341
0.9308,94,1464442582
0.9308,94,1464750444
0.9308,94,1465258431
0.9308,94,1477547409
0.9411,105,1596908178
0.9411,105,1600063743
0.9411,105,1597614708
0.9411,105,1608902755
0.9411,105,1605261256
0.9411,105,1595274592
0.9411,105,1604627448
0.9411,105,1609522509
0.9411,105,1607906286
0.9411,105,1607898289
0.9502,120,1799324194
0.9502,120,1796812908
0.9502,120,1798282567
0.9502,120,1800555821
0.9502,120,1797066702
0.9502,120,1797658847
0.9502,120,1796490722
0.9502,120,1791139412
0.9502,120,1788045277
0.9502,120,1790829372
0.9605,136,1984124398
0.9605,136,1998550631
0.9605,136,1997261803
0.9605,136,1996895949
0.9605,136,1988831549
0.9605,136,1994550129
0.9605,136,1996370788
0.9605,136,1987341074
0.9605,136,2002054955
0.9605,136,2001749024
0.9701,167,2378927243
0.9701,167,2384340653
0.9701,167,2398043417
0.9701,167,2373435555
0.9701,167,2368050966
0.9701,167,2378942579
0.9701,167,2367507085
0.9701,167,2376029610
0.9701,167,2365917140
0.9701,167,2377006794
0.9805,215,2949865362
0.9805,215,3012319676
0.9805,215,2951482500
0.9805,215,2956642150
0.9805,215,2957125212
0.9805,215,2955694986
0.9805,215,2956789224
0.9805,215,2949197046
0.9805,215,2951459864
0.9805,215,2941902986
0.9904,324,4170560273
0.9904,324,4178772324
0.9904,324,4183374458
0.9904,324,4184109262
0.9904,324,4168266405
0.9904,324,4165489268
0.9904,324,4157294829
0.9904,324,4177357176
0.9904,324,4186991253
0.9904,324,4167483977
