recall,ef,dst,time
0.90011,159,5176,3116913995
0.90011,159,5176,3083687002
0.90011,159,5176,3106806694
0.90011,159,5176,3093947149
0.90011,159,5176,3100354474
0.90011,159,5176,3111728714
0.90011,159,5176,3110966889
0.90011,159,5176,3118771316
0.90011,159,5176,3120500893
0.90011,159,5176,3117171219
0.91025,182,5812,3523008688
0.91025,182,5812,3524871999
0.91025,182,5812,3523095077
0.91025,182,5812,3527016540
0.91025,182,5812,3527204077
0.91025,182,5812,3524039542
0.91025,182,5812,3527380641
0.91025,182,5812,3532799871
0.91025,182,5812,3531833175
0.91025,182,5812,3533573358
0.92033,212,6627,4051871063
0.92033,212,6627,4054727150
0.92033,212,6627,4054644884
0.92033,212,6627,4055819229
0.92033,212,6627,4057980664
0.92033,212,6627,4057064165
0.92033,212,6627,4061252556
0.92033,212,6627,4063142465
0.92033,212,6627,4061129924
0.92033,212,6627,4059969272
0.93019,248,7591,4685564544
0.93019,248,7591,4680157646
0.93019,248,7591,4679175633
0.93019,248,7591,4675477675
0.93019,248,7591,4678213508
0.93019,248,7591,4680296955
0.93019,248,7591,4678937801
0.93019,248,7591,4680052508
0.93019,248,7591,4680635985
0.93019,248,7591,4680359296
0.94002,293,8779,5447960153
0.94002,293,8779,5442131067
0.94002,293,8779,5449171248
0.94002,293,8779,5443904972
0.94002,293,8779,5451439422
0.94002,293,8779,5448623807
0.94002,293,8779,5447684859
0.94002,293,8779,5446866180
0.94002,293,8779,5446939764
0.94002,293,8779,5448792624
0.95011,356,10417,6526539511
0.95011,356,10417,6527773386
0.95011,356,10417,6529185205
0.95011,356,10417,6533458262
0.95011,356,10417,6531367268
0.95011,356,10417,6537488367
0.95011,356,10417,6533874246
0.95011,356,10417,6537641001
0.95011,356,10417,6541468236
0.95011,356,10417,6543353214
0.96008,443,12628,8015072448
0.96008,443,12628,8038410139
0.96008,443,12628,8042442595
0.96008,443,12628,8110004521
0.96008,443,12628,8026241875
0.96008,443,12628,8026079044
0.96008,443,12628,8028682149
0.96008,443,12628,8026626604
0.96008,443,12628,8023319213
0.96008,443,12628,8027724368
0.97012,572,15825,10197077224
0.97012,572,15825,10200574932
0.97012,572,15825,10200180027
0.97012,572,15825,10197916246
0.97012,572,15825,10199046420
0.97012,572,15825,10199025070
0.97012,572,15825,10200398229
0.97012,572,15825,10203207477
0.97012,572,15825,10194802429
0.97012,572,15825,10208082837
0.98003,789,21026,13808176989
0.98003,789,21026,13810454379
0.98003,789,21026,13848768934
0.98003,789,21026,13860751180
0.98003,789,21026,13863599988
0.98003,789,21026,13878809610
0.98003,789,21026,13880131227
0.98003,789,21026,13893082672
0.98003,789,21026,13881477409
0.98003,789,21026,13892136051
0.99002,1261,31792,21688434068
0.99002,1261,31792,21672937776
0.99002,1261,31792,21645079263
0.99002,1261,31792,21599743269
0.99002,1261,31792,21602950399
0.99002,1261,31792,21557895786
0.99002,1261,31792,21561810788
0.99002,1261,31792,21574959530
0.99002,1261,31792,21548963251
0.99002,1261,31792,21527078340
