recall,ef,dst,time
0.90011,159,5176,3344961370
0.90011,159,5176,3387642220
0.90011,159,5176,3484785865
0.90011,159,5176,3511074347
0.90011,159,5176,3486644750
0.90011,159,5176,3513670620
0.90011,159,5176,3499212409
0.90011,159,5176,3506794040
0.90011,159,5176,3518020139
0.90011,159,5176,3517075295
0.91025,182,5812,3959946863
0.91025,182,5812,3958441172
0.91025,182,5812,3972311644
0.91025,182,5812,3974749843
0.91025,182,5812,3962178607
0.91025,182,5812,3971617225
0.91025,182,5812,3974278795
0.91025,182,5812,3989970574
0.91025,182,5812,3992389465
0.91025,182,5812,3984338355
0.92033,212,6627,4575529794
0.92033,212,6627,4576630747
0.92033,212,6627,4578878373
0.92033,212,6627,4572985512
0.92033,212,6627,4571300942
0.92033,212,6627,4585548013
0.92033,212,6627,4576929335
0.92033,212,6627,4575668815
0.92033,212,6627,4583985532
0.92033,212,6627,4571910838
0.93019,248,7591,5280461202
0.93019,248,7591,5278634955
0.93019,248,7591,5272002377
0.93019,248,7591,5274318789
0.93019,248,7591,5274469031
0.93019,248,7591,5280002498
0.93019,248,7591,5261056265
0.93019,248,7591,5273368174
0.93019,248,7591,5277864809
0.93019,248,7591,5279456891
0.94002,293,8779,6144157520
0.94002,293,8779,6148306798
0.94002,293,8779,6147387129
0.94002,293,8779,6157512768
0.94002,293,8779,6163658246
0.94002,293,8779,6159727949
0.94002,293,8779,6154912823
0.94002,293,8779,6148070537
0.94002,293,8779,6163138742
0.94002,293,8779,6170745317
0.95011,356,10417,7391597844
0.95011,356,10417,7394521419
0.95011,356,10417,7394865303
0.95011,356,10417,7396567332
0.95011,356,10417,7397750456
0.95011,356,10417,7390432284
0.95011,356,10417,7396201542
0.95011,356,10417,7407482734
0.95011,356,10417,7438159320
0.95011,356,10417,7429642447
0.96008,443,12628,9096467309
0.96008,443,12628,9124135004
0.96008,443,12628,9103513991
0.96008,443,12628,9097830248
0.96008,443,12628,9104917087
0.96008,443,12628,9146004823
0.96008,443,12628,9139155212
0.96008,443,12628,9136833789
0.96008,443,12628,9142761797
0.96008,443,12628,9142337781
0.97012,572,15825,11582657735
0.97012,572,15825,11581016328
0.97012,572,15825,11550585236
0.97012,572,15825,11579139489
0.97012,572,15825,11542158667
0.97012,572,15825,11522013177
0.97012,572,15825,11514879776
0.97012,572,15825,11531192124
0.97012,572,15825,11543893950
0.97012,572,15825,11562587517
0.98003,789,21026,15584969350
0.98003,789,21026,15633831632
0.98003,789,21026,15585037936
0.98003,789,21026,15576359562
0.98003,789,21026,15570301034
0.98003,789,21026,15606877050
0.98003,789,21026,15625860503
0.98003,789,21026,15629001113
0.98003,789,21026,15598996835
0.98003,789,21026,15594018770
0.99002,1261,31792,24195735018
0.99002,1261,31792,24173212200
0.99002,1261,31792,24193319378
0.99002,1261,31792,24148665645
0.99002,1261,31792,24171250708
0.99002,1261,31792,24198989364
0.99002,1261,31792,24162260622
0.99002,1261,31792,24186636095
0.99002,1261,31792,24209356044
0.99002,1261,31792,24175666370
