recall,ef,dst,time
0.9001,159,5176,3814819372
0.9001,159,5176,3940300870
0.9001,159,5176,3928731547
0.9001,159,5176,4015313906
0.9001,159,5176,4037314074
0.9001,159,5176,4054997582
0.9001,159,5176,4042612187
0.9001,159,5176,4039452347
0.9001,159,5176,4035439773
0.9001,159,5176,4051278833
0.91024,182,5812,4577407322
0.91024,182,5812,4582758036
0.91024,182,5812,4596853981
0.91024,182,5812,4581780648
0.91024,182,5812,4576749063
0.91024,182,5812,4590288356
0.91024,182,5812,4599669389
0.91024,182,5812,4591334040
0.91024,182,5812,4590297471
0.91024,182,5812,4618559705
0.92032,212,6627,5305989226
0.92032,212,6627,5318085289
0.92032,212,6627,5305818535
0.92032,212,6627,5303553262
0.92032,212,6627,5313315358
0.92032,212,6627,5300673341
0.92032,212,6627,5320520257
0.92032,212,6627,5305269767
0.92032,212,6627,5317931182
0.92032,212,6627,5319876145
0.93018,248,7591,6167994184
0.93018,248,7591,6149935941
0.93018,248,7591,6151163809
0.93018,248,7591,6166210322
0.93018,248,7591,6160173158
0.93018,248,7591,6160030841
0.93018,248,7591,6150819833
0.93018,248,7591,6153228597
0.93018,248,7591,6121594438
0.93018,248,7591,6168662659
0.94001,293,8779,7195204592
0.94001,293,8779,7190369504
0.94001,293,8779,7185609258
0.94001,293,8779,7180477206
0.94001,293,8779,7200690385
0.94001,293,8779,7173998468
0.94001,293,8779,7157287953
0.94001,293,8779,7172558526
0.94001,293,8779,7180545341
0.94001,293,8779,7188960525
0.9501,356,10417,8656838926
0.9501,356,10417,8632881988
0.9501,356,10417,8640343862
0.9501,356,10417,8642428808
0.9501,356,10417,8648752836
0.9501,356,10417,8641066803
0.9501,356,10417,8643435103
0.9501,356,10417,8634274506
0.9501,356,10417,8629266727
0.9501,356,10417,8668302192
0.96007,443,12628,10627986310
0.96007,443,12628,10651348843
0.96007,443,12628,10684165451
0.96007,443,12628,10664504081
0.96007,443,12628,10688779868
0.96007,443,12628,10703339502
0.96007,443,12628,10693512511
0.96007,443,12628,10672722664
0.96007,443,12628,10692960007
0.96007,443,12628,10682990543
0.97011,572,15825,13651801067
0.97011,572,15825,13661601414
0.97011,572,15825,13675235079
0.97011,572,15825,13641660353
0.97011,572,15825,13656242179
0.97011,572,15825,13625696577
0.97011,572,15825,13658915316
0.97011,572,15825,13665707502
0.97011,572,15825,13644086131
0.97011,572,15825,13664597345
0.98002,789,21026,18585950829
0.98002,789,21026,18580662068
0.98002,789,21026,18586894556
0.98002,789,21026,18598622756
0.98002,789,21026,18584755037
0.98002,789,21026,18593932758
0.98002,789,21026,18572839227
0.98002,789,21026,18569213580
0.98002,789,21026,18587044416
0.98002,789,21026,18571733205
0.99001,1261,31792,29158166206
0.99001,1261,31792,29119887673
0.99001,1261,31792,29170469062
0.99001,1261,31792,29168512127
0.99001,1261,31792,29171187629
0.99001,1261,31792,29190626251
0.99001,1261,31792,29164164316
0.99001,1261,31792,29170316155
0.99001,1261,31792,29147107027
0.99001,1261,31792,29160895283
