recall,ef,dst,time
0.90065,22,782,536659940
0.90065,22,782,531127164
0.90065,22,782,531377847
0.90065,22,782,530982767
0.90065,22,782,531421865
0.90065,22,782,531705614
0.90065,22,782,533841866
0.90065,22,782,530131772
0.90065,22,782,531692534
0.90065,22,782,529725336
0.91157,24,828,566179866
0.91157,24,828,566022242
0.91157,24,828,565794832
0.91157,24,828,567752480
0.91157,24,828,572416359
0.91157,24,828,575471616
0.91157,24,828,564773018
0.91157,24,828,567358475
0.91157,24,828,564191231
0.91157,24,828,567453484
0.92086,26,874,599032969
0.92086,26,874,599652936
0.92086,26,874,600226322
0.92086,26,874,598094307
0.92086,26,874,598362928
0.92086,26,874,596800823
0.92086,26,874,595645073
0.92086,26,874,597465980
0.92086,26,874,597855543
0.92086,26,874,597867774
0.93255,29,942,646259581
0.93255,29,942,646940653
0.93255,29,942,656228918
0.93255,29,942,683484515
0.93255,29,942,646247926
0.93255,29,942,647065415
0.93255,29,942,648219141
0.93255,29,942,648312188
0.93255,29,942,648382456
0.93255,29,942,648494271
0.94199,32,1010,696891209
0.94199,32,1010,699650308
0.94199,32,1010,699016731
0.94199,32,1010,706020161
0.94199,32,1010,701914244
0.94199,32,1010,701368500
0.94199,32,1010,698569777
0.94199,32,1010,698985506
0.94199,32,1010,699603372
0.94199,32,1010,699309159
0.95158,36,1099,765273513
0.95158,36,1099,766720984
0.95158,36,1099,765958439
0.95158,36,1099,766850705
0.95158,36,1099,764022273
0.95158,36,1099,767252723
0.95158,36,1099,764691198
0.95158,36,1099,766900802
0.95158,36,1099,766595268
0.95158,36,1099,766357406
0.96079,41,1208,846732656
0.96079,41,1208,846463475
0.96079,41,1208,846004027
0.96079,41,1208,847706886
0.96079,41,1208,847350046
0.96079,41,1208,848261312
0.96079,41,1208,848261223
0.96079,41,1208,848070741
0.96079,41,1208,846571668
0.96079,41,1208,848420526
0.97028,48,1362,963045502
0.97028,48,1362,963460362
0.97028,48,1362,960373851
0.97028,48,1362,963098859
0.97028,48,1362,966491977
0.97028,48,1362,965636958
0.97028,48,1362,963246363
0.97028,48,1362,963206068
0.97028,48,1362,963784713
0.97028,48,1362,963358646
0.98033,60,1617,1153066857
0.98033,60,1617,1152938006
0.98033,60,1617,1153419791
0.98033,60,1617,1151866463
0.98033,60,1617,1153626823
0.98033,60,1617,1152494519
0.98033,60,1617,1153117285
0.98033,60,1617,1153780783
0.98033,60,1617,1154270214
0.98033,60,1617,1154051655
0.9901,84,2108,1524348167
0.9901,84,2108,1522648020
0.9901,84,2108,1525240295
0.9901,84,2108,1525076943
0.9901,84,2108,1526054982
0.9901,84,2108,1527350193
0.9901,84,2108,1527092896
0.9901,84,2108,1525212139
0.9901,84,2108,1522814261
0.9901,84,2108,1525899274
