recall,ef,dst,time
0.90072,22,782,576566199
0.90072,22,782,565018295
0.90072,22,782,578648547
0.90072,22,782,578228699
0.90072,22,782,577475867
0.90072,22,782,577827562
0.90072,22,782,574346538
0.90072,22,782,570676313
0.90072,22,782,575448511
0.90072,22,782,574821992
0.91163,24,828,616644663
0.91163,24,828,616247500
0.91163,24,828,617644761
0.91163,24,828,615170700
0.91163,24,828,624116278
0.91163,24,828,612803759
0.91163,24,828,614173019
0.91163,24,828,613428396
0.91163,24,828,617012002
0.91163,24,828,618020812
0.92093,26,874,653410814
0.92093,26,874,654442328
0.92093,26,874,655018648
0.92093,26,874,649349719
0.92093,26,874,655795908
0.92093,26,874,648444961
0.92093,26,874,653621292
0.92093,26,874,654837118
0.92093,26,874,654808867
0.92093,26,874,656983542
0.9326,29,942,711994593
0.9326,29,942,708551715
0.9326,29,942,706864912
0.9326,29,942,712562631
0.9326,29,942,712079359
0.9326,29,942,711799128
0.9326,29,942,712274947
0.9326,29,942,713019468
0.9326,29,942,704788437
0.9326,29,942,708914216
0.94206,32,1010,769799538
0.94206,32,1010,768438488
0.94206,32,1010,769296914
0.94206,32,1010,770923215
0.94206,32,1010,767834270
0.94206,32,1010,766152389
0.94206,32,1010,765878585
0.94206,32,1010,767894772
0.94206,32,1010,768606326
0.94206,32,1010,770302694
0.95166,36,1099,839614238
0.95166,36,1099,837435735
0.95166,36,1099,839082614
0.95166,36,1099,839875305
0.95166,36,1099,842312745
0.95166,36,1099,843123412
0.95166,36,1099,843623980
0.95166,36,1099,836283421
0.95166,36,1099,840415305
0.95166,36,1099,844343899
0.96088,41,1208,934716554
0.96088,41,1208,933629401
0.96088,41,1208,930255495
0.96088,41,1208,933701095
0.96088,41,1208,931985323
0.96088,41,1208,935528672
0.96088,41,1208,934133679
0.96088,41,1208,933574034
0.96088,41,1208,930041657
0.96088,41,1208,930969421
0.97035,48,1362,1063174085
0.97035,48,1362,1065230813
0.97035,48,1362,1065564787
0.97035,48,1362,1060116961
0.97035,48,1362,1060527598
0.97035,48,1362,1063683345
0.97035,48,1362,1065088172
0.97035,48,1362,1061689014
0.97035,48,1362,1060548464
0.97035,48,1362,1063614289
0.9804,60,1617,1280243790
0.9804,60,1617,1277449124
0.9804,60,1617,1275277454
0.9804,60,1617,1277286903
0.9804,60,1617,1281087457
0.9804,60,1617,1279952827
0.9804,60,1617,1275205776
0.9804,60,1617,1279420583
0.9804,60,1617,1278016633
0.9804,60,1617,1281500907
0.99018,84,2108,1697150528
0.99018,84,2108,1703038867
0.99018,84,2108,1696499328
0.99018,84,2108,1695384198
0.99018,84,2108,1702368880
0.99018,84,2108,1697582487
0.99018,84,2108,1698564763
0.99018,84,2108,1702886211
0.99018,84,2108,1696801557
0.99018,84,2108,1698809639
