recall,ef,dst,time
0.90072,22,782,634191070
0.90072,22,782,619695245
0.90072,22,782,619116147
0.90072,22,782,639234995
0.90072,22,782,645323210
0.90072,22,782,649443998
0.90072,22,782,645200346
0.90072,22,782,648629230
0.90072,22,782,644019340
0.90072,22,782,649919808
0.91163,24,828,693312528
0.91163,24,828,690276285
0.91163,24,828,689671890
0.91163,24,828,690317609
0.91163,24,828,669820016
0.91163,24,828,680690055
0.91163,24,828,685229627
0.91163,24,828,690829092
0.91163,24,828,685495160
0.91163,24,828,679069026
0.92093,26,874,720255807
0.92093,26,874,714075420
0.92093,26,874,721023626
0.92093,26,874,719944051
0.92093,26,874,719402455
0.92093,26,874,718751618
0.92093,26,874,720058763
0.92093,26,874,719980084
0.92093,26,874,714195035
0.92093,26,874,720992613
0.9326,29,942,778959051
0.9326,29,942,778047863
0.9326,29,942,777201971
0.9326,29,942,779281552
0.9326,29,942,782942178
0.9326,29,942,791166004
0.9326,29,942,783697592
0.9326,29,942,792795420
0.9326,29,942,794891850
0.9326,29,942,799319319
0.94206,32,1010,848477155
0.94206,32,1010,831584390
0.94206,32,1010,833571983
0.94206,32,1010,839584398
0.94206,32,1010,849598569
0.94206,32,1010,848568983
0.94206,32,1010,858960943
0.94206,32,1010,847316769
0.94206,32,1010,856750494
0.94206,32,1010,859036726
0.95166,36,1099,918389690
0.95166,36,1099,942397449
0.95166,36,1099,922075433
0.95166,36,1099,926470902
0.95166,36,1099,930795533
0.95166,36,1099,920773914
0.95166,36,1099,918276280
0.95166,36,1099,915611072
0.95166,36,1099,913215970
0.95166,36,1099,911814135
0.96088,41,1208,1019546323
0.96088,41,1208,1024920916
0.96088,41,1208,1044656957
0.96088,41,1208,1018053426
0.96088,41,1208,1019180943
0.96088,41,1208,1020255700
0.96088,41,1208,1019292276
0.96088,41,1208,1016893369
0.96088,41,1208,1009789894
0.96088,41,1208,1026672777
0.97035,48,1362,1193794725
0.97035,48,1362,1177721495
0.97035,48,1362,1155093049
0.97035,48,1362,1154380779
0.97035,48,1362,1154819779
0.97035,48,1362,1158164852
0.97035,48,1362,1159283312
0.97035,48,1362,1159656508
0.97035,48,1362,1157387470
0.97035,48,1362,1157521784
0.9804,60,1617,1392297492
0.9804,60,1617,1417859898
0.9804,60,1617,1423237655
0.9804,60,1617,1437915599
0.9804,60,1617,1425963154
0.9804,60,1617,1427812133
0.9804,60,1617,1394205764
0.9804,60,1617,1395594711
0.9804,60,1617,1389704479
0.9804,60,1617,1395076813
0.99018,84,2108,1878465521
0.99018,84,2108,1879144155
0.99018,84,2108,1903535320
0.99018,84,2108,1892566929
0.99018,84,2108,1914477483
0.99018,84,2108,1916435861
0.99018,84,2108,1912678839
0.99018,84,2108,1908663172
0.99018,84,2108,1888601079
0.99018,84,2108,1889996690
