recall,ef,time
0.90094,22,739879464
0.90094,22,739623260
0.90094,22,738594826
0.90094,22,739399947
0.90094,22,739661959
0.90094,22,747894635
0.90094,22,738152694
0.90094,22,737419363
0.90094,22,739342070
0.90094,22,739173319
0.91103,24,786816313
0.91103,24,780966607
0.91103,24,784441479
0.91103,24,787154579
0.91103,24,784366274
0.91103,24,789694099
0.91103,24,787812110
0.91103,24,780589695
0.91103,24,780322378
0.91103,24,779837531
0.92038,26,826687946
0.92038,26,829002439
0.92038,26,828406252
0.92038,26,828052178
0.92038,26,828106958
0.92038,26,825776032
0.92038,26,826689738
0.92038,26,828386019
0.92038,26,828026902
0.92038,26,828950881
0.93317,29,897983296
0.93317,29,895848717
0.93317,29,895611955
0.93317,29,896015120
0.93317,29,897358983
0.93317,29,898113870
0.93317,29,898778941
0.93317,29,896998598
0.93317,29,897300137
0.93317,29,897488433
0.94201,32,965630087
0.94201,32,965557147
0.94201,32,964985647
0.94201,32,964431093
0.94201,32,965444016
0.94201,32,972908862
0.94201,32,972970387
0.94201,32,966866151
0.94201,32,967685374
0.94201,32,969724390
0.95182,36,1060842620
0.95182,36,1058915454
0.95182,36,1056530767
0.95182,36,1058656368
0.95182,36,1060467564
0.95182,36,1059824181
0.95182,36,1060303730
0.95182,36,1059693930
0.95182,36,1060428991
0.95182,36,1060988421
0.96122,41,1172577910
0.96122,41,1173830035
0.96122,41,1182281800
0.96122,41,1179542309
0.96122,41,1181195724
0.96122,41,1182642584
0.96122,41,1183088846
0.96122,41,1180604165
0.96122,41,1182632627
0.96122,41,1181675506
0.97086,48,1344017204
0.97086,48,1344307294
0.97086,48,1344555511
0.97086,48,1346411826
0.97086,48,1345666193
0.97086,48,1346277425
0.97086,48,1347609500
0.97086,48,1340166772
0.97086,48,1337677438
0.97086,48,1341545287
0.98011,59,1590379019
0.98011,59,1591377937
0.98011,59,1592202526
0.98011,59,1591603623
0.98011,59,1587771485
0.98011,59,1592172576
0.98011,59,1592846250
0.98011,59,1591499810
0.98011,59,1592241670
0.98011,59,1617380204
0.99013,83,2139095990
0.99013,83,2139558938
0.99013,83,2145359757
0.99013,83,2139654111
0.99013,83,2140107917
0.99013,83,2142466610
0.99013,83,2144136974
0.99013,83,2141820825
0.99013,83,2140180844
0.99013,83,2138256770
