recall,ef,dst,time
0.8995,123,127,315510842
0.8995,123,127,312549638
0.8995,123,127,314504310
0.8995,123,127,330371236
0.8995,123,127,328854342
0.8995,123,127,317779944
0.8995,123,127,316970650
0.8995,123,127,316994865
0.8995,123,127,317314750
0.8995,123,127,316760954
0.9095,134,138,340111034
0.9095,134,138,334880154
0.9095,134,138,342245135
0.9095,134,138,333824764
0.9095,134,138,334558897
0.9095,134,138,333109587
0.9095,134,138,334149630
0.9095,134,138,332676324
0.9095,134,138,334036395
0.9095,134,138,335551058
0.92,147,151,356098381
0.92,147,151,353742273
0.92,147,151,359294614
0.92,147,151,370002258
0.92,147,151,355856154
0.92,147,151,356274725
0.92,147,151,357797923
0.92,147,151,356547406
0.92,147,151,355468029
0.92,147,151,357212511
0.9305,162,166,380076837
0.9305,162,166,393047277
0.9305,162,166,400784451
0.9305,162,166,387875323
0.9305,162,166,382149635
0.9305,162,166,378714770
0.9305,162,166,386660613
0.9305,162,166,379215735
0.9305,162,166,382980740
0.9305,162,166,382503115
0.9398,180,184,425793433
0.9398,180,184,426821504
0.9398,180,184,412224188
0.9398,180,184,409647265
0.9398,180,184,414671199
0.9398,180,184,408791667
0.9398,180,184,417568979
0.9398,180,184,410408635
0.9398,180,184,414390339
0.9398,180,184,408801153
0.9502,204,208,450117525
0.9502,204,208,453674112
0.9502,204,208,450053797
0.9502,204,208,451123853
0.9502,204,208,448990496
0.9502,204,208,449673868
0.9502,204,208,451968613
0.9502,204,208,457391456
0.9502,204,208,451594082
0.9502,204,208,453807092
0.96,236,240,507797830
0.96,236,240,548512634
0.96,236,240,506522854
0.96,236,240,502301722
0.96,236,240,529805683
0.96,236,240,501559842
0.96,236,240,513696629
0.96,236,240,508769006
0.96,236,240,527156911
0.96,236,240,551082760
0.9696,281,285,577600162
0.9696,281,285,584465369
0.9696,281,285,596424050
0.9696,281,285,577195773
0.9696,281,285,587220347
0.9696,281,285,591526207
0.9696,281,285,594008958
0.9696,281,285,621883021
0.9696,281,285,581613829
0.9696,281,285,592138690
0.98,360,364,723857287
0.98,360,364,718588611
0.98,360,364,731914861
0.98,360,364,712462401
0.98,360,364,733248236
0.98,360,364,733194019
0.98,360,364,718883892
0.98,360,364,713766473
0.98,360,364,715473228
0.98,360,364,747379148
0.99,506,510,1015142194
0.99,506,510,950619836
0.99,506,510,968240287
0.99,506,510,962517302
0.99,506,510,960622350
0.99,506,510,967652006
0.99,506,510,964194743
0.99,506,510,976672586
0.99,506,510,1009838139
0.99,506,510,946767989
